user_id,age,income_monthly,expenses_monthly,goal_type,goal_amount,goal_years,risk_profile,preferred_investments,marital_status,dependents,employment_type,investment_experience,location_tier,time_until_retirement,emergency_fund,current_assets,savings_monthly,can_invest,predicted_sip,allocation_mutual_funds,allocation_gold,allocation_fd
51,55,192247,113854,retirement,18712815,17,medium,"real_estate,stocks",single,0,salaried,beginner,Tier 2,5,8343,4651020.0,78393,True,78393,39196,15678,23519
52,26,128429,84186,wedding,1240427,4,medium,"stocks,real_estate",married,3,business,intermediate,Tier 3,34,74042,194356.0,44243,True,25842,12921,5168,7753
53,43,108468,47793,retirement,4748014,26,high,"gold,real_estate",married,1,self-employed,intermediate,Tier 1,17,83781,2338627.0,60675,True,15217,10651,1521,3045
54,26,58919,25585,wedding,1669748,5,low,"real_estate,fd",single,3,self-employed,none,Tier 2,34,67752,1157677.0,33334,True,27829,8348,8348,11133
55,58,41646,17358,car,1050419,4,medium,"fd,real_estate",married,1,self-employed,intermediate,Tier 3,2,28289,4516271.0,24288,True,21883,10941,4376,6566
56,22,56975,35925,wedding,1946403,5,medium,"gold,fd",single,1,salaried,expert,Tier 3,38,99704,99115.0,21050,True,21050,10525,4210,6315
57,53,164143,104560,bike,71938,2,low,"stocks,gold",single,0,salaried,intermediate,Tier 3,7,9000,2873100.0,59583,True,2997,899,899,1199
58,58,118691,63515,bike,98304,2,medium,"fd,gold",single,1,business,intermediate,Tier 3,2,87986,,55176,True,4096,2048,819,1229
59,50,123940,58884,wedding,1814093,4,medium,"stocks,fd",married,0,business,intermediate,Tier 1,10,97658,4630081.0,65056,True,37793,18896,7558,11339
60,56,42350,17995,bike,85351,1,medium,"mutual_funds,real_estate",married,1,salaried,intermediate,Tier 1,4,20305,3403597.0,24355,True,7112,3556,1422,2134
61,55,72458,36131,retirement,7197571,27,medium,"stocks,mutual_funds",married,0,self-employed,expert,Tier 2,5,16338,2278636.0,36327,True,22214,11107,4442,6665
62,57,179568,122325,retirement,6369720,13,low,"stocks,gold",single,1,business,intermediate,Tier 1,3,43756,2690328.0,57243,True,40831,12249,12249,16333
63,45,62295,37475,retirement,14552291,27,low,"stocks,gold",single,0,business,beginner,Tier 1,15,70510,2050991.0,24820,True,24820,7446,7446,9928
64,45,153429,91543,bike,104811,1,high,"stocks,mutual_funds",married,2,salaried,beginner,Tier 3,15,76180,2784296.0,61886,True,8734,6113,873,1748
65,56,167424,89103,retirement,16217648,29,low,"mutual_funds,stocks",married,3,business,expert,Tier 2,4,5728,3314908.0,78321,True,46602,13980,13980,18642
66,40,193352,80960,bike,119163,2,medium,"gold,real_estate",single,2,self-employed,none,Tier 3,20,69895,475523.0,112392,True,4965,2482,993,1490
67,40,20486,8791,wedding,1539458,3,medium,"gold,stocks",married,3,business,none,Tier 3,20,16130,1859891.0,11695,True,11695,5847,2339,3509
68,44,42192,18552,bike,149780,2,high,"real_estate,fd",single,1,business,intermediate,Tier 3,16,16174,3059758.0,23640,True,6240,4368,624,1248
69,26,169786,120666,retirement,14624266,27,low,"fd,stocks",single,2,self-employed,none,Tier 2,34,77267,2326360.0,49120,True,45136,13540,13540,18056
70,31,190333,81736,education,339081,3,high,"mutual_funds,real_estate",single,1,self-employed,intermediate,Tier 3,29,93858,567313.0,108597,True,9418,6592,941,1885
71,26,103092,44297,wedding,1837682,3,low,"fd,gold",single,0,salaried,beginner,Tier 2,34,88285,1336643.0,58795,True,51046,15313,15313,20420
72,38,186334,138837,car,917923,3,medium,"fd,gold",married,3,salaried,expert,Tier 3,22,24870,4492987.0,47497,True,25497,12748,5099,7650
73,48,40289,28896,retirement,10827494,12,medium,"gold,fd",married,0,salaried,intermediate,Tier 2,12,9748,3937857.0,11393,True,11393,5696,2278,3419
74,49,18709,7852,car,1111131,5,low,"mutual_funds,gold",single,0,business,none,Tier 3,11,30470,3369144.0,10857,True,10857,3257,3257,4343
75,22,54298,32805,wedding,1610205,3,medium,"stocks,gold",married,2,self-employed,beginner,Tier 2,38,33016,3743976.0,21493,True,21493,10746,4298,6449
76,54,118333,65404,retirement,8747372,22,low,"gold,fd",married,0,business,none,Tier 2,6,25559,1584837.0,52929,True,33133,9939,9939,13255
77,42,36732,17945,car,823570,5,medium,"mutual_funds,real_estate",single,0,salaried,none,Tier 1,18,76726,2164792.0,18787,True,13726,6863,2745,4118
78,35,67638,50629,bike,170133,2,high,"real_estate,stocks",single,2,self-employed,expert,Tier 2,25,24087,3368230.0,17009,True,7088,4961,708,1419
79,32,93859,69037,car,1459599,5,high,"fd,gold",married,1,salaried,intermediate,Tier 3,28,28959,4310507.0,24822,True,24326,17028,2432,4866
80,29,24337,11337,retirement,14858009,17,low,"stocks,mutual_funds",single,1,self-employed,expert,Tier 1,31,36921,1394027.0,13000,True,13000,3900,3900,5200
81,49,142016,69727,wedding,997562,4,high,"stocks,real_estate",single,2,self-employed,intermediate,Tier 1,11,43088,4060912.0,72289,True,20782,14547,2078,4157
82,41,181619,89871,car,522402,2,low,"mutual_funds,real_estate",single,1,self-employed,expert,Tier 2,19,10713,2727618.0,91748,True,21766,6529,6529,8708
83,26,65990,47625,bike,118141,2,high,"gold,fd",single,2,business,expert,Tier 2,34,42892,4243398.0,18365,True,4922,3445,492,985
84,54,76813,52516,wedding,612816,5,low,"fd,stocks",married,0,salaried,beginner,Tier 2,6,28833,185230.0,24297,True,10213,3063,3063,4087
85,46,35309,24370,retirement,13270156,10,high,"gold,stocks",married,1,salaried,expert,Tier 2,14,80880,3301298.0,10939,True,10939,7657,1093,2189
86,22,15404,6465,bike,72763,1,low,"real_estate,stocks",married,0,business,expert,Tier 3,38,14860,2382517.0,8939,True,6063,1818,1818,2427
87,24,65612,39682,retirement,15243026,26,medium,"stocks,gold",married,0,salaried,intermediate,Tier 3,36,61397,1137341.0,25930,True,25930,12965,5186,7779
88,22,60106,29821,wedding,1343523,4,high,"gold,real_estate",single,0,salaried,intermediate,Tier 3,38,42744,4945207.0,30285,True,27990,19593,2799,5598
89,53,107193,56314,retirement,16943554,27,high,"mutual_funds,gold",single,3,business,beginner,Tier 2,7,47944,4884357.0,50879,True,50879,35615,5087,10177
90,26,140917,99604,car,1098168,2,high,"fd,real_estate",single,3,self-employed,expert,Tier 1,34,24198,2686694.0,41313,True,41313,28919,4131,8263
91,36,16252,10029,bike,113682,1,high,"stocks,real_estate",married,1,salaried,intermediate,Tier 1,24,70215,3798603.0,6223,True,6223,4356,622,1245
92,55,21949,13451,education,962301,5,medium,"real_estate,fd",married,2,salaried,expert,Tier 1,5,66886,2623619.0,8498,True,8498,4249,1699,2550
93,59,112239,80662,bike,130390,2,medium,"real_estate,fd",single,2,self-employed,expert,Tier 1,1,48088,1346516.0,31577,True,5432,2716,1086,1630
94,50,185883,104237,car,1050199,2,medium,"real_estate,mutual_funds",single,1,business,beginner,Tier 3,10,78477,,81646,True,43758,21879,8751,13128
95,23,84836,40144,wedding,758090,5,low,"real_estate,mutual_funds",single,2,self-employed,intermediate,Tier 3,37,11254,4923878.0,44692,True,12634,3790,3790,5054
96,37,152162,68258,education,1372647,6,high,"gold,mutual_funds",married,3,business,intermediate,Tier 2,23,46240,1355794.0,83904,True,19064,13344,1906,3814
97,53,116570,67649,retirement,4910705,28,medium,"stocks,fd",married,2,self-employed,expert,Tier 2,7,62108,4200276.0,48921,True,14615,7307,2923,4385
98,39,126195,65831,education,585205,3,medium,"fd,mutual_funds",married,1,business,expert,Tier 1,21,21907,4296049.0,60364,True,16255,8127,3251,4877
99,35,106865,68568,wedding,1572200,4,medium,"fd,gold",single,0,self-employed,intermediate,Tier 2,25,27574,4118472.0,38297,True,32754,16377,6550,9827
100,43,156550,90654,bike,178831,1,low,"mutual_funds,fd",single,0,self-employed,intermediate,Tier 3,17,69291,2337623.0,65896,True,14902,4470,4470,5962
101,56,65428,48756,car,1317559,3,medium,"stocks,mutual_funds",single,1,business,beginner,Tier 2,4,33699,117661.0,16672,True,16672,8336,3334,5002
102,45,162820,68680,retirement,13466615,28,high,"stocks,fd",single,2,salaried,expert,Tier 3,15,10122,2951614.0,94140,True,40079,28055,4007,8017
103,44,99717,66049,wedding,1353499,3,low,"fd,real_estate",single,1,business,none,Tier 3,16,93869,2968258.0,33668,True,33668,10100,10100,13468
104,36,61271,30282,car,1065627,3,medium,"stocks,gold",single,2,business,expert,Tier 2,24,55448,2242614.0,30989,True,29600,14800,5920,8880
105,43,62915,30301,wedding,1158956,3,medium,"stocks,real_estate",single,3,salaried,expert,Tier 2,17,12561,517010.0,32614,True,32193,16096,6438,9659
106,39,41734,25226,wedding,526069,4,medium,"mutual_funds,gold",married,2,self-employed,none,Tier 2,21,78479,2618103.0,16508,True,10959,5479,2191,3289
107,40,115776,59984,wedding,1502163,4,low,"gold,fd",single,3,business,expert,Tier 3,20,39529,962826.0,55792,True,31295,9388,9388,12519
108,27,18812,13672,car,1302580,3,high,"gold,mutual_funds",single,0,salaried,none,Tier 1,33,6605,2305363.0,5140,True,5140,3597,514,1029
109,51,91125,41979,car,524040,4,high,"gold,real_estate",single,2,self-employed,expert,Tier 1,9,29818,2903406.0,49146,True,10917,7641,1091,2185
110,58,91323,68404,car,940677,3,high,"real_estate,fd",single,3,salaried,none,Tier 1,2,84579,1221459.0,22919,True,22919,16043,2291,4585
111,36,146189,71671,retirement,5357821,11,medium,"stocks,gold",single,2,business,none,Tier 3,24,15954,294761.0,74518,True,40589,20294,8117,12178
112,26,152541,112696,wedding,564323,5,medium,"gold,mutual_funds",single,3,self-employed,beginner,Tier 3,34,54376,1004480.0,39845,True,9405,4702,1881,2822
113,33,142534,92295,bike,138477,2,low,"real_estate,mutual_funds",married,1,business,intermediate,Tier 2,27,6828,1100493.0,50239,True,5769,1730,1730,2309
114,32,47254,26859,education,871650,3,low,"mutual_funds,real_estate",single,1,business,none,Tier 1,28,64383,3807974.0,20395,True,20395,6118,6118,8159
115,31,148291,69786,car,405287,3,low,"stocks,real_estate",single,3,salaried,expert,Tier 3,29,13512,706702.0,78505,True,11257,3377,3377,4503
116,58,123872,82508,education,393070,6,medium,"fd,stocks",single,1,business,expert,Tier 2,2,31614,4852116.0,41364,True,5459,2729,1091,1639
117,35,82444,54067,wedding,846699,5,medium,"fd,mutual_funds",married,2,business,intermediate,Tier 1,25,10415,3887247.0,28377,True,14111,7055,2822,4234
118,43,152023,102392,retirement,5155748,23,medium,"mutual_funds,gold",single,3,business,beginner,Tier 3,17,93861,,49631,True,18680,9340,3736,5604
119,42,30524,20912,retirement,7873594,23,low,"fd,gold",single,1,salaried,beginner,Tier 2,18,25611,1112636.0,9612,True,9612,2883,2883,3846
120,46,58303,32543,retirement,15218983,23,medium,"gold,real_estate",married,3,self-employed,beginner,Tier 3,14,16954,4579788.0,25760,True,25760,12880,5152,7728
121,59,117974,67947,retirement,19320656,10,medium,"gold,fd",married,2,business,none,Tier 1,1,50558,2659089.0,50027,True,50027,25013,10005,15009
122,35,142796,102422,bike,195090,1,medium,"stocks,fd",single,2,salaried,intermediate,Tier 1,25,46157,1677781.0,40374,True,16257,8128,3251,4878
123,24,111646,73205,wedding,980703,5,low,"gold,stocks",single,2,business,intermediate,Tier 1,36,76324,1157955.0,38441,True,16345,4903,4903,6539
124,51,155518,93404,wedding,1075644,4,medium,"fd,gold",married,0,salaried,expert,Tier 2,9,71656,1949492.0,62114,True,22409,11204,4481,6724
125,48,17336,7137,car,681173,3,low,"stocks,mutual_funds",single,1,salaried,none,Tier 1,12,48872,4107893.0,10199,True,10199,3059,3059,4081
126,34,169782,90423,wedding,702967,5,low,"stocks,fd",single,0,self-employed,beginner,Tier 1,26,25103,176108.0,79359,True,11716,3514,3514,4688
127,25,116195,77869,wedding,647550,5,medium,"real_estate,stocks",married,2,business,expert,Tier 2,35,80683,2742755.0,38326,True,10792,5396,2158,3238
128,32,141205,101379,car,794030,3,medium,"gold,mutual_funds",married,1,business,none,Tier 1,28,95474,4377819.0,39826,True,22056,11028,4411,6617
129,47,88319,50965,bike,77368,1,medium,"fd,real_estate",married,2,self-employed,intermediate,Tier 3,13,96751,4474507.0,37354,True,6447,3223,1289,1935
130,33,185987,111182,retirement,8748035,14,high,"gold,stocks",single,3,salaried,expert,Tier 1,27,58028,940695.0,74805,True,52071,36449,5207,10415
131,49,124945,52991,car,1141426,2,medium,"mutual_funds,fd",single,1,salaried,none,Tier 1,11,49327,2609272.0,71954,True,47559,23779,9511,14269
132,43,193954,108186,car,684260,2,medium,"stocks,real_estate",married,1,self-employed,intermediate,Tier 1,17,6645,3374323.0,85768,True,28510,14255,5702,8553
133,44,34256,17684,bike,179719,1,medium,"mutual_funds,fd",married,0,self-employed,beginner,Tier 1,16,16694,368408.0,16572,True,14976,7488,2995,4493
134,30,72545,49403,wedding,1520020,4,high,"real_estate,gold",married,0,salaried,intermediate,Tier 2,30,45738,1948739.0,23142,True,23142,16199,2314,4629
135,46,154649,87066,retirement,16427105,26,low,"real_estate,stocks",married,3,self-employed,none,Tier 3,14,46914,2799178.0,67583,True,52650,15795,15795,21060
136,45,82526,37791,wedding,1306388,3,high,"fd,gold",married,0,salaried,beginner,Tier 2,15,42148,2241422.0,44735,True,36288,25401,3628,7259
137,43,34097,13795,car,558768,4,low,"gold,stocks",single,0,salaried,intermediate,Tier 3,17,51163,69816.0,20302,True,11641,3492,3492,4657
138,41,67853,47579,wedding,1755100,3,medium,"mutual_funds,stocks",married,2,salaried,intermediate,Tier 1,19,80520,2928604.0,20274,True,20274,10137,4054,6083
139,51,107374,58988,bike,153501,2,medium,"real_estate,mutual_funds",married,1,salaried,expert,Tier 2,9,64676,3369260.0,48386,True,6395,3197,1279,1919
140,51,87847,52505,bike,124077,1,high,"mutual_funds,stocks",single,2,self-employed,expert,Tier 1,9,33865,2709440.0,35342,True,10339,7237,1033,2069
141,51,53565,35774,car,1417289,4,low,"stocks,mutual_funds",married,1,business,beginner,Tier 3,9,57603,1835910.0,17791,True,17791,5337,5337,7117
142,49,41399,26933,bike,169575,1,low,"stocks,gold",married,0,business,none,Tier 3,11,81534,2652967.0,14466,True,14131,4239,4239,5653
143,44,91218,52626,car,849589,2,high,"fd,mutual_funds",single,2,salaried,none,Tier 1,16,73836,3530130.0,38592,True,35399,24779,3539,7081
144,54,100595,48623,car,997794,5,high,"real_estate,mutual_funds",single,3,business,intermediate,Tier 3,6,36821,,51972,True,16629,11640,1662,3327
145,37,134235,98064,wedding,1111213,5,medium,"fd,stocks",married,2,business,beginner,Tier 3,23,22327,4291361.0,36171,True,18520,9260,3704,5556
146,28,19425,8351,bike,62198,1,high,"fd,gold",married,2,business,intermediate,Tier 1,32,25079,4389235.0,11074,True,5183,3628,518,1037
147,50,177491,114726,education,560910,3,high,"mutual_funds,gold",married,3,business,none,Tier 2,10,90514,3866446.0,62765,True,15580,10906,1558,3116
148,23,109914,66674,education,678387,3,high,"gold,mutual_funds",married,0,salaried,none,Tier 2,37,83757,1755215.0,43240,True,18844,13190,1884,3770
149,51,126496,69907,wedding,638155,5,low,"mutual_funds,fd",single,3,salaried,none,Tier 1,9,22771,,56589,True,10635,3190,3190,4255
150,31,194357,110900,car,490093,4,high,"mutual_funds,real_estate",married,3,self-employed,intermediate,Tier 2,29,42599,1782465.0,83457,True,10210,7147,1021,2042
151,38,17573,11590,bike,159608,1,low,"mutual_funds,stocks",single,0,salaried,expert,Tier 1,22,60029,2295909.0,5983,True,5983,1794,1794,2395
152,25,70961,41440,wedding,1756556,4,low,"mutual_funds,real_estate",single,2,salaried,none,Tier 1,35,79532,3539866.0,29521,True,29521,8856,8856,11809
153,27,76268,52264,bike,91653,2,high,"fd,stocks",married,0,self-employed,none,Tier 1,33,27180,4472808.0,24004,True,3818,2672,381,765
154,59,143377,93491,education,873044,4,low,"fd,stocks",single,1,salaried,expert,Tier 3,1,66396,101226.0,49886,True,18188,5456,5456,7276
155,52,44402,27045,wedding,1726476,3,medium,"mutual_funds,real_estate",married,0,self-employed,beginner,Tier 2,8,79182,4468441.0,17357,True,17357,8678,3471,5208
156,38,50737,27475,retirement,17142073,23,medium,"fd,stocks",married,3,business,beginner,Tier 1,22,91145,1199947.0,23262,True,23262,11631,4652,6979
157,22,165322,71355,wedding,1496121,3,medium,"gold,fd",single,0,self-employed,beginner,Tier 2,38,58002,926031.0,93967,True,41558,20779,8311,12468
158,57,170834,86099,wedding,878165,4,high,"real_estate,gold",married,2,self-employed,expert,Tier 3,3,28150,4181479.0,84735,True,18295,12806,1829,3660
159,43,135900,77369,retirement,6351278,29,medium,"fd,stocks",single,2,business,beginner,Tier 2,17,72298,2818362.0,58531,True,18250,9125,3650,5475
160,38,136789,100448,retirement,5721864,18,medium,"fd,real_estate",married,3,salaried,none,Tier 1,22,42904,,36341,True,26490,13245,5298,7947
161,46,146132,93661,education,1403913,3,medium,"stocks,gold",single,2,salaried,expert,Tier 3,14,29354,3240914.0,52471,True,38997,19498,7799,11700
162,58,101123,65036,wedding,1240829,4,low,"gold,fd",single,1,self-employed,beginner,Tier 2,2,28051,666036.0,36087,True,25850,7755,7755,10340
163,38,195553,125485,car,719278,5,medium,"stocks,mutual_funds",single,1,self-employed,intermediate,Tier 3,22,49623,2540706.0,70068,True,11987,5993,2397,3597
164,29,158326,108025,car,794966,2,medium,"real_estate,fd",married,1,business,expert,Tier 2,31,63053,514071.0,50301,True,33123,16561,6624,9938
165,46,92454,59411,education,1209164,4,medium,"fd,stocks",single,2,business,beginner,Tier 2,14,32935,2184793.0,33043,True,25190,12595,5038,7557
166,37,85342,63987,wedding,1112121,3,low,"gold,mutual_funds",married,1,salaried,expert,Tier 2,23,99457,1574102.0,21355,True,21355,6406,6406,8543
167,35,183270,118043,car,1328626,5,medium,"gold,stocks",married,3,business,beginner,Tier 3,25,88441,3946022.0,65227,True,22143,11071,4428,6644
168,50,152809,100971,bike,111571,1,medium,"fd,stocks",single,2,self-employed,expert,Tier 3,10,42265,4131082.0,51838,True,9297,4648,1859,2790
169,38,104613,63677,bike,181826,2,medium,"fd,mutual_funds",single,3,salaried,intermediate,Tier 1,22,62132,3405745.0,40936,True,7576,3788,1515,2273
170,24,149055,82630,education,1109942,6,low,"stocks,fd",single,2,salaried,none,Tier 2,36,61846,1891648.0,66425,True,15415,4624,4624,6167
171,25,69620,43970,wedding,769708,4,medium,"fd,stocks",single,0,business,none,Tier 2,35,99223,4498748.0,25650,True,16035,8017,3207,4811
172,23,138618,97661,wedding,1673917,5,medium,"stocks,real_estate",married,2,self-employed,beginner,Tier 1,37,80532,4995169.0,40957,True,27898,13949,5579,8370
173,53,159991,108725,wedding,1393741,3,low,"gold,mutual_funds",single,1,business,beginner,Tier 3,7,56184,2143373.0,51266,True,38715,11614,11614,15487
174,37,100431,49722,education,1189097,4,medium,"gold,stocks",single,0,self-employed,expert,Tier 1,23,29574,4494499.0,50709,True,24772,12386,4954,7432
175,26,156888,75866,wedding,1026338,3,low,"stocks,real_estate",single,1,self-employed,intermediate,Tier 2,34,29951,606701.0,81022,True,28509,8552,8552,11405
176,25,178985,86228,retirement,16016728,25,low,"mutual_funds,gold",married,0,salaried,beginner,Tier 3,35,95093,817950.0,92757,True,53389,16016,16016,21357
177,30,150566,80479,car,1491577,2,low,"gold,mutual_funds",single,0,business,intermediate,Tier 2,30,50028,2900171.0,70087,True,62149,18644,18644,24861
178,27,146878,103944,bike,188301,2,high,"mutual_funds,real_estate",married,2,business,none,Tier 2,33,34757,608924.0,42934,True,7845,5491,784,1570
179,55,194352,128306,retirement,13679043,17,medium,"stocks,gold",single,3,salaried,beginner,Tier 3,5,86470,481413.0,66046,True,66046,33023,13209,19814
180,31,55042,25417,bike,176953,1,high,"gold,stocks",married,0,salaried,intermediate,Tier 3,29,60554,195271.0,29625,True,14746,10322,1474,2950
181,27,197020,122235,education,366262,3,medium,"stocks,fd",married,0,self-employed,none,Tier 3,33,81898,3345097.0,74785,True,10173,5086,2034,3053
182,56,171497,110376,education,674999,5,low,"gold,stocks",single,3,business,intermediate,Tier 3,4,12906,4959384.0,61121,True,11249,3374,3374,4501
